queue_size, nb_events_sent, nb_bytes_sent 
0,0,0
500,0,0
1000,0,0
0,1500,42000
500,1500,42000
1000,1500,42000
1500,1500,42000
0,3500,98000
500,3500,98000
1000,3500,98000
1500,3500,98000
0,5500,154000
500,5500,154000
1000,5500,154000
1500,5500,154000
0,7500,210000
500,7500,210000
1000,7500,210000
1500,7500,210000
0,9500,266000
500,9500,266000
1000,9500,266000
1500,9500,266000
0,11500,322000
500,11500,322000
1000,11500,322000
1500,11500,322000
2000,11500,322000
0,14000,392000
500,14000,392000
1000,14000,392000
1500,14000,392000
0,16000,448000
500,16000,448000
1000,16000,448000
1500,16000,448000
0,18000,504000
500,18000,504000
1000,18000,504000
1500,18000,504000
0,20000,560000
500,20000,560000
1000,20000,560000
1500,20000,560000
0,22000,616000
500,22000,616000
1000,22000,616000
1500,22000,616000
0,24000,672000
500,24000,672000
1000,24000,672000
1500,24000,672000
0,26000,728000
500,26000,728000
1000,26000,728000
1500,26000,728000
0,28000,784000
500,28000,784000
1000,28000,784000
1500,28000,784000
